slope_degrees,rainfall_mm,soil_depth_m,vegetation_index,land_stability_score
34.9,319.0,3.4,0.6,72.33
21.7,207.1,3.8,0.8,40.14
19.4,313.4,1.1,0.6,35.12
39.9,306.3,1.2,0.4,64.25
36.8,120.3,1.6,0.3,60.3
43.0,241.5,1.9,0.4,62.03
8.9,137.6,4.7,0.2,52.6
41.3,183.8,1.3,0.3,72.52
10.3,175.0,1.0,0.8,5.0
6.3,158.3,1.1,0.8,10.65
30.5,186.5,4.7,0.6,52.31
41.5,228.7,0.7,0.7,47.4
14.1,56.0,0.9,0.6,18.02
40.5,462.2,1.7,0.1,78.67
44.9,423.8,2.5,0.4,73.32
35.0,354.6,3.9,0.5,83.55
38.7,216.1,3.9,0.5,68.42
38.1,218.6,4.7,0.6,65.03
14.3,192.9,3.1,0.6,32.54
33.4,495.4,1.1,0.6,58.33
16.4,168.6,3.5,0.1,58.09
15.6,287.7,3.9,0.8,31.37
8.0,394.9,1.8,0.7,44.0
37.0,54.3,0.7,0.4,46.42
44.4,349.5,1.4,0.2,80.23
